config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
64-2-8-0.2-0.0005-42.yaml,64,2,8,0.2,0.0005,42,0.09743,0.18269,9,0.05788,0.11297,9,"(64, 2, 8, 0.2, 0.0005)",[42]
64-2-8-0.3-0.001-42.yaml,64,2,8,0.3,0.001,42,0.09774,0.18345,8,0.0578,0.11207,8,"(64, 2, 8, 0.3, 0.001)",[42]
64-4-8-0.3-0.0005-42.yaml,64,4,8,0.3,0.0005,42,0.09869,0.18558,14,0.05773,0.11339,14,"(64, 4, 8, 0.3, 0.0005)",[42]
128-4-4-0.3-0.001-42.yaml,128,4,4,0.3,0.001,42,0.09735,0.18063,7,0.05767,0.1128,7,"(128, 4, 4, 0.3, 0.001)",[42]
128-4-2-0.3-0.0005-42.yaml,128,4,2,0.3,0.0005,42,0.09684,0.18215,5,0.05766,0.11301,5,"(128, 4, 2, 0.3, 0.0005)",[42]
256-2-8-0.2-0.00075-42.yaml,256,2,8,0.2,0.00075,42,0.09486,0.17959,3,0.05765,0.11144,3,"(256, 2, 8, 0.2, 0.00075)",[42]
64-4-4-0.3-0.001-42.yaml,64,4,4,0.3,0.001,42,0.09907,0.18345,10,0.05765,0.11224,10,"(64, 4, 4, 0.3, 0.001)",[42]
64-2-2-0.3-0.0005-42.yaml,64,2,2,0.3,0.0005,42,0.09778,0.18324,14,0.05764,0.11226,14,"(64, 2, 2, 0.3, 0.0005)",[42]
64-4-8-0.3-0.001-42.yaml,64,4,8,0.3,0.001,42,0.09923,0.184,10,0.05763,0.11182,10,"(64, 4, 8, 0.3, 0.001)",[42]
64-2-4-0.2-0.0005-42.yaml,64,2,4,0.2,0.0005,42,0.09786,0.18302,10,0.05755,0.11349,10,"(64, 2, 4, 0.2, 0.0005)",[42]
256-2-4-0.2-0.00075-42.yaml,256,2,4,0.2,0.00075,42,0.09515,0.17932,3,0.05749,0.11157,3,"(256, 2, 4, 0.2, 0.00075)",[42]
64-2-4-0.3-0.0005-42.yaml,64,2,4,0.3,0.0005,42,0.09835,0.18394,14,0.05742,0.11219,14,"(64, 2, 4, 0.3, 0.0005)",[42]
256-2-2-0.3-0.00075-42.yaml,256,2,2,0.3,0.00075,42,0.09468,0.17921,3,0.05732,0.11115,3,"(256, 2, 2, 0.3, 0.00075)",[42]
128-2-8-0.3-0.0005-42.yaml,128,2,8,0.3,0.0005,42,0.0963,0.18161,5,0.05731,0.11334,5,"(128, 2, 8, 0.3, 0.0005)",[42]
256-2-8-0.3-0.00075-42.yaml,256,2,8,0.3,0.00075,42,0.09493,0.17899,3,0.0573,0.11092,3,"(256, 2, 8, 0.3, 0.00075)",[42]
128-4-8-0.3-0.0005-42.yaml,128,4,8,0.3,0.0005,42,0.09769,0.184,7,0.05716,0.11341,7,"(128, 4, 8, 0.3, 0.0005)",[42]
256-2-4-0.2-0.001-42.yaml,256,2,4,0.2,0.001,42,0.09932,0.17981,28,0.05707,0.10858,28,"(256, 2, 4, 0.2, 0.001)",[42]
64-2-4-0.2-0.00075-42.yaml,64,2,4,0.2,0.00075,42,0.09734,0.18128,6,0.05697,0.11058,6,"(64, 2, 4, 0.2, 0.00075)",[42]
