config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
256-2-4-0.2-0.00075-42.yaml,256,2,4,0.2,0.00075,42,0.16866,0.27131,99,0.04111,0.0722,99,"(256, 2, 4, 0.2, 0.00075)","[42, 1, 256]"
256-4-2-0.3-0.0005-42.yaml,256,4,2,0.3,0.0005,42,0.16853,0.27456,96,0.0384,0.0691,96,"(256, 4, 2, 0.3, 0.0005)","[42, 256, 1]"
256-2-8-0.2-0.0005-256.yaml,256,2,8,0.2,0.0005,256,0.16837,0.26979,96,0.03982,0.07054,96,"(256, 2, 8, 0.2, 0.0005)","[42, 1, 256]"
256-2-2-0.2-0.001-42.yaml,256,2,2,0.2,0.001,42,0.16799,0.27019,95,0.03757,0.06572,95,"(256, 2, 2, 0.2, 0.001)","[42, 1, 256]"
256-2-2-0.2-0.00075-42.yaml,256,2,2,0.2,0.00075,42,0.16768,0.26845,99,0.03912,0.07004,99,"(256, 2, 2, 0.2, 0.00075)","[42, 1, 256]"
256-2-2-0.2-0.00075-1.yaml,256,2,2,0.2,0.00075,1,0.16758,0.27015,98,0.03891,0.06979,98,"(256, 2, 2, 0.2, 0.00075)","[42, 1, 256]"
256-2-2-0.2-0.00075-256.yaml,256,2,2,0.2,0.00075,256,0.16697,0.26917,98,0.03784,0.06607,98,"(256, 2, 2, 0.2, 0.00075)","[42, 1, 256]"
256-2-4-0.2-0.0005-42.yaml,256,2,4,0.2,0.0005,42,0.16691,0.27028,100,0.03554,0.06244,100,"(256, 2, 4, 0.2, 0.0005)",[42]
256-2-8-0.3-0.001-1.yaml,256,2,8,0.3,0.001,1,0.16679,0.26997,100,0.04566,0.07874,100,"(256, 2, 8, 0.3, 0.001)","[42, 1, 256]"
256-2-8-0.3-0.001-42.yaml,256,2,8,0.3,0.001,42,0.16628,0.26903,99,0.04243,0.07458,99,"(256, 2, 8, 0.3, 0.001)","[42, 1, 256]"
256-2-2-0.2-0.001-256.yaml,256,2,2,0.2,0.001,256,0.16626,0.2685,98,0.04217,0.07364,98,"(256, 2, 2, 0.2, 0.001)","[42, 1, 256]"
256-2-2-0.2-0.0005-1.yaml,256,2,2,0.2,0.0005,1,0.16625,0.26569,99,0.03697,0.06716,99,"(256, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
256-2-2-0.2-0.0005-256.yaml,256,2,2,0.2,0.0005,256,0.16524,0.26792,97,0.0364,0.06481,97,"(256, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
256-2-8-0.3-0.00075-256.yaml,256,2,8,0.3,0.00075,256,0.16511,0.26792,99,0.04448,0.07793,99,"(256, 2, 8, 0.3, 0.00075)","[42, 1, 256]"
256-2-8-0.3-0.00075-42.yaml,256,2,8,0.3,0.00075,42,0.16491,0.26988,92,0.04336,0.07561,92,"(256, 2, 8, 0.3, 0.00075)","[42, 1, 256]"
256-2-8-0.3-0.001-256.yaml,256,2,8,0.3,0.001,256,0.16488,0.26943,100,0.04772,0.08303,100,"(256, 2, 8, 0.3, 0.001)","[42, 1, 256]"
256-2-4-0.3-0.001-1.yaml,256,2,4,0.3,0.001,1,0.16468,0.26876,100,0.04445,0.07674,100,"(256, 2, 4, 0.3, 0.001)","[42, 1, 256]"
256-2-2-0.2-0.0005-42.yaml,256,2,2,0.2,0.0005,42,0.16435,0.26453,97,0.0362,0.06603,97,"(256, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
256-2-4-0.3-0.00075-1.yaml,256,2,4,0.3,0.00075,1,0.16363,0.26805,99,0.04275,0.07477,99,"(256, 2, 4, 0.3, 0.00075)","[42, 1, 256]"
256-2-8-0.3-0.00075-1.yaml,256,2,8,0.3,0.00075,1,0.16342,0.26694,83,0.04375,0.07511,83,"(256, 2, 8, 0.3, 0.00075)","[42, 1, 256]"
256-2-4-0.3-0.001-256.yaml,256,2,4,0.3,0.001,256,0.16336,0.26774,98,0.04599,0.0788,98,"(256, 2, 4, 0.3, 0.001)","[42, 1, 256]"
256-2-8-0.3-0.0005-256.yaml,256,2,8,0.3,0.0005,256,0.16304,0.26564,99,0.04155,0.07292,99,"(256, 2, 8, 0.3, 0.0005)","[42, 1, 256]"
256-2-8-0.3-0.0005-42.yaml,256,2,8,0.3,0.0005,42,0.16302,0.26783,95,0.04077,0.07123,95,"(256, 2, 8, 0.3, 0.0005)","[42, 1, 256]"
256-2-8-0.3-0.0005-1.yaml,256,2,8,0.3,0.0005,1,0.16233,0.26685,96,0.04113,0.07264,96,"(256, 2, 8, 0.3, 0.0005)","[42, 1, 256]"
256-2-4-0.3-0.00075-42.yaml,256,2,4,0.3,0.00075,42,0.16224,0.26618,99,0.04366,0.07705,99,"(256, 2, 4, 0.3, 0.00075)","[42, 1, 256]"
256-2-2-0.3-0.001-256.yaml,256,2,2,0.3,0.001,256,0.16216,0.26261,98,0.04651,0.08031,98,"(256, 2, 2, 0.3, 0.001)","[42, 1, 256]"
256-2-4-0.3-0.0005-256.yaml,256,2,4,0.3,0.0005,256,0.16211,0.26471,96,0.04078,0.0727,96,"(256, 2, 4, 0.3, 0.0005)","[42, 256, 1]"
256-2-4-0.3-0.0005-42.yaml,256,2,4,0.3,0.0005,42,0.16193,0.26449,95,0.03653,0.0645,95,"(256, 2, 4, 0.3, 0.0005)","[42, 256, 1]"
256-2-2-0.3-0.00075-1.yaml,256,2,2,0.3,0.00075,1,0.16183,0.26551,100,0.04012,0.07067,100,"(256, 2, 2, 0.3, 0.00075)","[42, 1, 256]"
256-2-4-0.3-0.00075-256.yaml,256,2,4,0.3,0.00075,256,0.16161,0.26301,87,0.04016,0.07132,87,"(256, 2, 4, 0.3, 0.00075)","[42, 1, 256]"
256-2-2-0.3-0.001-42.yaml,256,2,2,0.3,0.001,42,0.16156,0.26181,95,0.04302,0.07492,95,"(256, 2, 2, 0.3, 0.001)","[42, 1, 256]"
256-2-2-0.3-0.00075-42.yaml,256,2,2,0.3,0.00075,42,0.16137,0.26391,99,0.04132,0.0733,99,"(256, 2, 2, 0.3, 0.00075)","[42, 1, 256]"
256-2-2-0.3-0.001-1.yaml,256,2,2,0.3,0.001,1,0.16096,0.26154,99,0.04488,0.07683,99,"(256, 2, 2, 0.3, 0.001)","[42, 1, 256]"
256-2-4-0.3-0.0005-1.yaml,256,2,4,0.3,0.0005,1,0.16076,0.26293,99,0.03905,0.06966,99,"(256, 2, 4, 0.3, 0.0005)","[42, 256, 1]"
256-2-2-0.3-0.0005-42.yaml,256,2,2,0.3,0.0005,42,0.15936,0.25847,95,0.03672,0.06447,95,"(256, 2, 2, 0.3, 0.0005)","[42, 256, 1]"
256-2-2-0.3-0.0005-256.yaml,256,2,2,0.3,0.0005,256,0.15904,0.26047,97,0.03484,0.06244,97,"(256, 2, 2, 0.3, 0.0005)","[42, 256, 1]"
256-2-2-0.3-0.0005-1.yaml,256,2,2,0.3,0.0005,1,0.15901,0.26195,99,0.03709,0.06691,99,"(256, 2, 2, 0.3, 0.0005)","[42, 256, 1]"
256-2-2-0.3-0.00075-256.yaml,256,2,2,0.3,0.00075,256,0.1589,0.26096,97,0.04155,0.07292,97,"(256, 2, 2, 0.3, 0.00075)","[42, 1, 256]"
256-2-4-0.3-0.001-42.yaml,256,2,4,0.3,0.001,42,0.15889,0.26181,50,0.04289,0.07574,50,"(256, 2, 4, 0.3, 0.001)","[42, 1, 256]"
128-4-8-0.2-0.001-1.yaml,128,4,8,0.2,0.001,1,0.15641,0.26252,90,0.03421,0.06278,90,"(128, 4, 8, 0.2, 0.001)","[42, 1, 256]"
128-4-4-0.2-0.001-256.yaml,128,4,4,0.2,0.001,256,0.15523,0.25856,100,0.0388,0.06966,100,"(128, 4, 4, 0.2, 0.001)","[42, 1, 256]"
128-4-8-0.2-0.001-256.yaml,128,4,8,0.2,0.001,256,0.15503,0.25994,100,0.03127,0.05696,100,"(128, 4, 8, 0.2, 0.001)","[42, 1, 256]"
128-4-4-0.2-0.001-1.yaml,128,4,4,0.2,0.001,1,0.15487,0.25985,98,0.04277,0.07758,98,"(128, 4, 4, 0.2, 0.001)","[42, 1, 256]"
128-4-4-0.2-0.001-42.yaml,128,4,4,0.2,0.001,42,0.15467,0.26007,100,0.03905,0.06998,100,"(128, 4, 4, 0.2, 0.001)","[42, 1, 256]"
128-4-4-0.2-0.00075-1.yaml,128,4,4,0.2,0.00075,1,0.15459,0.25998,98,0.03625,0.06635,98,"(128, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
128-4-8-0.2-0.001-42.yaml,128,4,8,0.2,0.001,42,0.15435,0.25776,100,0.04245,0.07596,100,"(128, 4, 8, 0.2, 0.001)","[42, 1, 256]"
128-4-8-0.2-0.00075-42.yaml,128,4,8,0.2,0.00075,42,0.15379,0.25869,94,0.03323,0.06103,94,"(128, 4, 8, 0.2, 0.00075)",[42]
128-4-4-0.2-0.00075-42.yaml,128,4,4,0.2,0.00075,42,0.15373,0.25771,100,0.04002,0.07229,100,"(128, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
128-4-8-0.2-0.0005-1.yaml,128,4,8,0.2,0.0005,1,0.15368,0.25606,98,0.03326,0.06165,98,"(128, 4, 8, 0.2, 0.0005)","[42, 1, 256]"
128-4-4-0.2-0.00075-256.yaml,128,4,4,0.2,0.00075,256,0.15364,0.25865,92,0.03955,0.07258,92,"(128, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
